Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages"
Argentina,ARG,2015,6.558466
Argentina,ARG,2016,6.011234
Argentina,ARG,2017,5.259381
Argentina,ARG,2018,5.367726
Argentina,ARG,2019,5.155823
Argentina,ARG,2020,5.3668137
Argentina,ARG,2021,4.6226788
Armenia,ARM,1990,5.004865
Armenia,ARM,1991,5.141486
Armenia,ARM,1992,8.53253
Armenia,ARM,1993,7.7516026
Armenia,ARM,1994,4.653626
Armenia,ARM,1995,3.49105
Armenia,ARM,1996,3.4557
Armenia,ARM,1997,3.0567784
Armenia,ARM,1998,2.8698833
Armenia,ARM,1999,2.8072107
Armenia,ARM,2000,2.8720002
Armenia,ARM,2001,2.8086898
Armenia,ARM,2002,2.2221954
Armenia,ARM,2004,2.7073355
Armenia,ARM,2005,1.903358
Armenia,ARM,2006,2.6102874
Armenia,ARM,2007,2.5629137
Armenia,ARM,2008,3.2513018
Armenia,ARM,2009,3.2722774
Armenia,ARM,2010,1.9006935
Armenia,ARM,2011,2.4240553
Armenia,ARM,2012,2.2302885
Armenia,ARM,2013,2.1713772
Armenia,ARM,2014,2.4914103
Armenia,ARM,2015,2.6054382
Armenia,ARM,2016,3.0357645
Armenia,ARM,2017,2.4544842
Armenia,ARM,2018,1.7627003
Armenia,ARM,2019,2.5881004
Armenia,ARM,2020,1.8534304
Armenia,ARM,2021,2.1856172
Aruba,ABW,1990,0
Aruba,ABW,1995,7.7871513
Aruba,ABW,1999,2.3023703
Aruba,ABW,2001,4.4106054
Aruba,ABW,2002,5.4477506
Aruba,ABW,2003,4.314948
Aruba,ABW,2004,2.1381342
Aruba,ABW,2005,6.350349
Aruba,ABW,2006,5.2297697
Aruba,ABW,2007,3.0995898
Aruba,ABW,2008,5.102249
Aruba,ABW,2009,4.03177
Aruba,ABW,2010,3.9863865
Aruba,ABW,2011,1.9745675
Aruba,ABW,2012,3.9172864
Aruba,ABW,2013,5.8320374
Aruba,ABW,2014,1.9306138
Asia (UN),,2000,3.3688762
Asia (UN),,2001,3.2861388
Asia (UN),,2002,3.1987464
Asia (UN),,2003,3.110312
Asia (UN),,2004,3.1070535
Asia (UN),,2005,2.9657845
Asia (UN),,2006,2.8758082
Asia (UN),,2007,2.8097327
Asia (UN),,2008,2.7752123
Asia (UN),,2009,2.7420762
Asia (UN),,2010,2.6782172
Asia (UN),,2011,2.7211475
Asia (UN),,2012,2.7030075
Asia (UN),,2013,2.6368656
Asia (UN),,2014,2.608817
Asia (UN),,2015,2.3975363
Asia (UN),,2016,2.315362
Asia (UN),,2017,2.1889129
Asia (UN),,2018,2.1029654
Asia (UN),,2019,2.037763
Asia (UN),,2020,2.0178237
Asia (UN),,2021,2.3276985
Australia,AUS,1990,2.1938055
Australia,AUS,1991,1.9686081
Australia,AUS,1992,1.7236933
Australia,AUS,1993,1.888664
Australia,AUS,1994,1.7971971
Australia,AUS,1995,1.9774483
Australia,AUS,1996,1.9437898
Australia,AUS,1997,1.9771594
Australia,AUS,1998,1.795538
Australia,AUS,1999,2.0477753
Australia,AUS,2000,1.9034636
Australia,AUS,2001,1.8027713
Australia,AUS,2002,1.879251
Australia,AUS,2003,1.5330728
Australia,AUS,2004,1.319946
Australia,AUS,2005,1.2839751
Australia,AUS,2006,1.3729398
Australia,AUS,2007,1.2241472
Australia,AUS,2008,1.2283583
Australia,AUS,2009,1.2141697
Australia,AUS,2010,1.049086
Australia,AUS,2011,1.1092706
Australia,AUS,2012,1.0691061
Australia,AUS,2013,1.0600654
Australia,AUS,2014,1.0353829
Australia,AUS,2015,0.99075425
Australia,AUS,2016,0.9381832
Australia,AUS,2017,0.84586084
Australia,AUS,2018,0.88473505
Australia,AUS,2019,0.887323
Australia,AUS,2020,0.86092544
Australia,AUS,2021,0.74456745
Austria,AUT,1990,1.1590459
Austria,AUT,1991,1.3280661
Austria,AUT,1992,1.2371161
Austria,AUT,1993,1.0119822
Austria,AUT,1994,1.1089597
Austria,AUT,1995,0.98146594
Austria,AUT,1996,1.2440248
Austria,AUT,1997,0.8284075
Austria,AUT,1998,0.9654129
Austria,AUT,1999,0.7508093
Austria,AUT,2000,1.0236655
Austria,AUT,2001,0.8706873
Austria,AUT,2002,0.80455583
Austria,AUT,2003,0.6157557
Austria,AUT,2004,0.72204673
Austria,AUT,2005,0.6563726
Austria,AUT,2006,0.7378053
Austria,AUT,2007,0.54251367
Austria,AUT,2008,0.6970206
Austria,AUT,2009,0.61129564
Austria,AUT,2010,0.7294182
Austria,AUT,2011,0.91762805
Austria,AUT,2012,0.96089554
Austria,AUT,2013,0.7193787
Austria,AUT,2014,0.4914542
Austria,AUT,2015,0.5091166
Austria,AUT,2016,0.6180974
Austria,AUT,2017,0.79568094
Austria,AUT,2018,0.9727943
Austria,AUT,2019,0.867123
Austria,AUT,2020,0.72969943
Austria,AUT,2021,0.7285295
Azerbaijan,AZE,1990,4.4292846
Azerbaijan,AZE,1991,4.7358365
Azerbaijan,AZE,1992,7.378975
Azerbaijan,AZE,1993,6.1756253
Azerbaijan,AZE,1994,6.379541
Azerbaijan,AZE,1995,5.615179
Azerbaijan,AZE,1996,5.0320153
Azerbaijan,AZE,1997,3.5499728
Azerbaijan,AZE,1998,3.4821126
Azerbaijan,AZE,1999,2.9871197
Azerbaijan,AZE,2000,2.759349
Azerbaijan,AZE,2001,2.6322072
Azerbaijan,AZE,2002,2.532212
Azerbaijan,AZE,2007,2.1287594
Azerbaijan,AZE,2008,2.1334054
Azerbaijan,AZE,2010,2.2301123
Azerbaijan,AZE,2011,2.2545109
Azerbaijan,AZE,2012,2.129549
Azerbaijan,AZE,2013,2.2986166
Azerbaijan,AZE,2014,2.4225302
Azerbaijan,AZE,2015,2.1392045
Azerbaijan,AZE,2016,1.6940236
Azerbaijan,AZE,2017,1.8070674
Azerbaijan,AZE,2018,1.9404047
Azerbaijan,AZE,2019,1.6417869
Azerbaijan,AZE,2020,2.236277
Azerbaijan,AZE,2021,1.9102119
Bahamas,BHS,1990,16.624859
Bahamas,BHS,1991,10.142815
Bahamas,BHS,1992,14.540425
Bahamas,BHS,1993,12.145841
Bahamas,BHS,1994,17.687284
Bahamas,BHS,1995,13.353185
Bahamas,BHS,1996,16.725014
Bahamas,BHS,1997,14.830553
Bahamas,BHS,2000,22.76825
Bahamas,BHS,2001,13.045088
Bahamas,BHS,2002,15.568769
Bahamas,BHS,2003,14.771463
Bahamas,BHS,2004,12.824642
Bahamas,BHS,2005,14.95095
Bahamas,BHS,2006,17.296892
Bahamas,BHS,2007,21.808025
Bahamas,BHS,2008,20.121555
Bahamas,BHS,2009,23.637674
Bahamas,BHS,2010,25.182709
Bahamas,BHS,2011,33.60233
Bahamas,BHS,2012,28.791214
Bahamas,BHS,2013,30.856995
Bahamas,BHS,2014,31.35191
Bahamas,BHS,2015,37.178745
Bahamas,BHS,2016,28.031967
Bahamas,BHS,2017,30.57491
Bahamas,BHS,2018,22.642082
Bahamas,BHS,2019,23.482475
Bahamas,BHS,2020,17.959438
Bahamas,BHS,2021,29.173424
Bahrain,BHR,1995,0.8157485
Bahrain,BHR,1996,1.2643104
Bahrain,BHR,1997,0.9193395
Bahrain,BHR,2001,1.2324429
Bahrain,BHR,2002,1.069055
Bahrain,BHR,2007,0.38441873
Bahrain,BHR,2008,0.5403733
Bahrain,BHR,2009,1.1022063
Bahrain,BHR,2010,0.1647929
Bahrain,BHR,2011,0.99003613
Bahrain,BHR,2012,0.7347302
Bahrain,BHR,2013,0.87185824
Bahrain,BHR,2014,0.6864284
Bahrain,BHR,2015,0.22024135
Bahrain,BHR,2016,0.28375617
Bahrain,BHR,2017,0.411852
Bahrain,BHR,2018,0.33617073
Bahrain,BHR,2019,0.26770383
Bahrain,BHR,2020,0
Bahrain,BHR,2021,0.068340294
Bangladesh,BGD,2000,2.587595
Bangladesh,BGD,2001,2.7933366
Bangladesh,BGD,2002,2.611454
Bangladesh,BGD,2003,2.5427973
Bangladesh,BGD,2004,2.8114474
Bangladesh,BGD,2005,2.549098
Bangladesh,BGD,2006,2.9208682
Bangladesh,BGD,2007,2.6801088
Bangladesh,BGD,2008,2.8187065
Bangladesh,BGD,2009,2.8758037
Bangladesh,BGD,2010,2.687492
Bangladesh,BGD,2011,2.640286
Bangladesh,BGD,2012,2.7049658
Bangladesh,BGD,2013,2.8520393
Bangladesh,BGD,2014,2.8943079
Bangladesh,BGD,2015,2.556548
Bangladesh,BGD,2016,2.247401
Bangladesh,BGD,2017,2.1935306
Bangladesh,BGD,2018,2.339875
Barbados,BRB,1990,13.134107
Barbados,BRB,1991,8.095543
Barbados,BRB,1992,8.454628
Barbados,BRB,1993,8.046116
Barbados,BRB,1994,7.6420026
Barbados,BRB,1995,6.481042
Barbados,BRB,1998,7.586059
Barbados,BRB,1999,8.706532
Barbados,BRB,2000,7.556951
Barbados,BRB,2001,9.420578
Barbados,BRB,2002,9.382447
Barbados,BRB,2003,12.336494
Barbados,BRB,2004,8.193516
Barbados,BRB,2005,10.761586
Barbados,BRB,2006,12.942567
Barbados,BRB,2007,9.210003
Barbados,BRB,2008,8.4361725
Barbados,BRB,2009,6.939587
Barbados,BRB,2010,11.284586
Barbados,BRB,2011,9.800843
Barbados,BRB,2012,7.965315
Barbados,BRB,2013,8.668485
Barbados,BRB,2014,9.009236
Barbados,BRB,2015,11.147751
Barbados,BRB,2016,7.8952374
Barbados,BRB,2017,10.745486
Barbados,BRB,2018,10.011137
Barbados,BRB,2019,17.131874
Barbados,BRB,2020,14.606706
Barbados,BRB,2021,11.379821
Belarus,BLR,1990,4.8712544
Belarus,BLR,1991,4.44652
Belarus,BLR,1992,5.670153
Belarus,BLR,1993,7.2134075
Belarus,BLR,1994,7.913783
Belarus,BLR,1995,9.176332
Belarus,BLR,1996,9.29434
Belarus,BLR,1997,9.816436
Belarus,BLR,1998,10.002446
Belarus,BLR,1999,9.448712
Belarus,BLR,2000,9.87668
Belarus,BLR,2001,9.498875
Belarus,BLR,2002,9.757891
Belarus,BLR,2007,6.604935
Belarus,BLR,2008,5.639659
Belarus,BLR,2009,4.9909263
Belarus,BLR,2010,4.12067
Belarus,BLR,2011,3.842595
Belarus,BLR,2012,3.5074148
Belarus,BLR,2013,3.4361296
Belarus,BLR,2014,3.5074184
Belarus,BLR,2015,3.3606138
Belarus,BLR,2016,3.1623044
Belarus,BLR,2017,2.4722195
Belarus,BLR,2018,2.3309605
Belarus,BLR,2019,2.3258288
Belgium,BEL,1990,1.0409307
Belgium,BEL,1991,1.023646
Belgium,BEL,1992,1.2075212
Belgium,BEL,1993,1.4407884
Belgium,BEL,1994,1.1917552
Belgium,BEL,1995,1.4066094
Belgium,BEL,1996,1.1853925
Belgium,BEL,1997,1.427886
Belgium,BEL,2000,2.0654027
Belgium,BEL,2001,2.7354062
Belgium,BEL,2002,3.0804682
Belgium,BEL,2021,1.0765264
Belize,BLZ,2000,17.054483
Belize,BLZ,2001,25.796103
Belize,BLZ,2002,33.9861
Belize,BLZ,2003,25.37898
Belize,BLZ,2004,29.030403
Belize,BLZ,2005,28.88988
Belize,BLZ,2006,31.863733
Belize,BLZ,2007,32.640865
Belize,BLZ,2008,33.696304
Belize,BLZ,2009,30.874954
Belize,BLZ,2010,40.048866
Belize,BLZ,2011,37.628494
Belize,BLZ,2012,43.019176
Belize,BLZ,2013,28.721668
Belize,BLZ,2014,34.909958
Belize,BLZ,2015,33.067406
Belize,BLZ,2016,37.57019
Belize,BLZ,2017,37.89764
Belize,BLZ,2018,37.42809
Belize,BLZ,2019,34.43889
Belize,BLZ,2020,25.827984
Belize,BLZ,2021,31.247578
Bermuda,BMU,1990,1.7400383
Bermuda,BMU,1991,5.183675
Bermuda,BMU,1992,1.7146041
Bermuda,BMU,1993,5.107296
Bermuda,BMU,1994,10.15031
Bermuda,BMU,1996,6.6844363
Bermuda,BMU,1997,3.3207698
Bermuda,BMU,1998,0
Bermuda,BMU,1999,3.279683
Bermuda,BMU,2000,0
Bermuda,BMU,2001,4.857277
Bermuda,BMU,2002,1.6092824
Bermuda,BMU,2003,3.201665
Bermuda,BMU,2004,1.5938668
Bermuda,BMU,2005,3.1766958
Bermuda,BMU,2006,4.755828
Bermuda,BMU,2007,4.7501802
Bermuda,BMU,2008,7.904201
Bermuda,BMU,2009,9.470669
Bermuda,BMU,2010,11.03283
Bermuda,BMU,2011,12.591882
Bermuda,BMU,2012,9.439825
Bermuda,BMU,2013,7.873272
Bermuda,BMU,2014,6.3136296
Bermuda,BMU,2015,6.334727
Bermuda,BMU,2016,12.684721
Bermuda,BMU,2017,7.902015
Bermuda,BMU,2019,0
Bermuda,BMU,2020,10.93229
Bermuda,BMU,2021,10.905975
Bhutan,BTN,1990,3.5813925
Bhutan,BTN,1991,2.1137552
Bhutan,BTN,1992,4.9455624
Bhutan,BTN,1993,3.6479673
Bhutan,BTN,1994,3.8368604
Bhutan,BTN,1995,3.0329683
Bhutan,BTN,1996,2.232583
Bhutan,BTN,1997,1.2800235
Bhutan,BTN,1998,1.9743602
Bhutan,BTN,1999,2.2767475
Bhutan,BTN,2000,3.0653586
Bhutan,BTN,2001,3.14969
Bhutan,BTN,2002,3.069229
Bhutan,BTN,2003,0.7878644
Bhutan,BTN,2004,2.3077242
Bhutan,BTN,2005,1.6583173
Bhutan,BTN,2006,1.3367802
Bhutan,BTN,2007,2.0539498
Bhutan,BTN,2008,2.6096904
Bhutan,BTN,2009,2.2933233
Bhutan,BTN,2010,2.267842
Bhutan,BTN,2011,4.485999
Bhutan,BTN,2012,4.576053
Bhutan,BTN,2013,3.2926848
Bhutan,BTN,2015,1.6144786
Bhutan,BTN,2016,1.2003818
Bhutan,BTN,2017,1.7193004
Bhutan,BTN,2018,1.1809528
Bhutan,BTN,2019,1.042401
Bhutan,BTN,2020,2.4595277
Bolivia,BOL,2015,4.896265
Bolivia,BOL,2016,5.7000723
Bolivia,BOL,2017,6.5322704
Bolivia,BOL,2018,4.945332
Bolivia,BOL,2019,4.2199774
Bolivia,BOL,2020,3.4935853
Bolivia,BOL,2021,3.4935303
Bosnia and Herzegovina,BIH,1990,1.6242758
Bosnia and Herzegovina,BIH,2000,2.3687894
Bosnia and Herzegovina,BIH,2001,1.9547397
Bosnia and Herzegovina,BIH,2002,2.1436687
Bosnia and Herzegovina,BIH,2004,1.6413782
Bosnia and Herzegovina,BIH,2007,1.6467577
Bosnia and Herzegovina,BIH,2008,1.6736863
Bosnia and Herzegovina,BIH,2009,1.8309587
Bosnia and Herzegovina,BIH,2010,1.4693967
Bosnia and Herzegovina,BIH,2011,1.362492
Bosnia and Herzegovina,BIH,2012,1.7145778
Bosnia and Herzegovina,BIH,2013,1.2715758
Bosnia and Herzegovina,BIH,2014,1.4001416
Bosnia and Herzegovina,BIH,2015,1.6173314
Bosnia and Herzegovina,BIH,2016,1.2927371
Bosnia and Herzegovina,BIH,2017,1.2209207
Bosnia and Herzegovina,BIH,2018,1.1470153
Bosnia and Herzegovina,BIH,2019,1.2497354
Bosnia and Herzegovina,BIH,2020,1.2958022
Bosnia and Herzegovina,BIH,2021,0.9783111
Botswana,BWA,2001,12.089016
Botswana,BWA,2002,14.205095
Botswana,BWA,2003,17.078451
Botswana,BWA,2004,13.931584
Botswana,BWA,2005,15.373992
Botswana,BWA,2006,13.532407
Botswana,BWA,2007,14.235042
Botswana,BWA,2008,13.998765
Botswana,BWA,2009,14.104462
Botswana,BWA,2010,14.486071
Botswana,BWA,2020,8.678912
Botswana,BWA,2021,10.546963
Brazil,BRA,1990,19.442558
Brazil,BRA,1991,18.357327
Brazil,BRA,1992,16.656002
Brazil,BRA,1993,17.680256
Brazil,BRA,1994,18.543499
Brazil,BRA,1995,20.793213
Brazil,BRA,1996,23.424883
Brazil,BRA,1997,24.0331
Brazil,BRA,1998,24.526455
Brazil,BRA,1999,24.73625
Brazil,BRA,2000,25.79976
Brazil,BRA,2001,26.90898
Brazil,BRA,2002,27.543724
Brazil,BRA,2003,27.960468
Brazil,BRA,2004,26.19828
Brazil,BRA,2005,25.478415
Brazil,BRA,2006,26.037931
Brazil,BRA,2007,25.018942
Brazil,BRA,2008,26.020863
Brazil,BRA,2009,26.455711
Brazil,BRA,2010,26.630033
Brazil,BRA,2011,26.355639
Brazil,BRA,2012,28.197144
Brazil,BRA,2013,28.179903
Brazil,BRA,2014,29.358646
Brazil,BRA,2015,28.356405
Brazil,BRA,2016,29.589155
Brazil,BRA,2017,30.593037
Brazil,BRA,2018,26.636013
Brazil,BRA,2019,20.810465
Brazil,BRA,2020,22.384066
British Virgin Islands,VGB,1990,6.4034834
British Virgin Islands,VGB,1991,0
British Virgin Islands,VGB,1992,0
British Virgin Islands,VGB,1993,0
British Virgin Islands,VGB,1994,0
British Virgin Islands,VGB,1995,11.315738
British Virgin Islands,VGB,1996,11.037223
British Virgin Islands,VGB,1999,5.1056876
British Virgin Islands,VGB,2001,4.841091
British Virgin Islands,VGB,2002,4.6975923
British Virgin Islands,VGB,2003,9.09856
British Virgin Islands,VGB,2004,17.609121
British Virgin Islands,VGB,2006,8.222839
Brunei,BRN,1996,2.9392939
Brunei,BRN,1997,2.554156
Brunei,BRN,1998,1.2494045
Brunei,BRN,1999,1.2230752
Brunei,BRN,2000,1.1978683
Brunei,BRN,2003,0.84735113
Brunei,BRN,2004,0.5548458
Brunei,BRN,2005,0.5453789
Brunei,BRN,2006,0.8047038
Brunei,BRN,2007,0.79208237
Brunei,BRN,2008,0.26003203
Brunei,BRN,2009,0.76861787
Brunei,BRN,2010,0.25249177
Brunei,BRN,2011,0.24906228
Brunei,BRN,2012,0.98368555
Brunei,BRN,2013,0.48578766
Bulgaria,BGR,1990,2.5890255
Bulgaria,BGR,1991,4.29964
Bulgaria,BGR,1992,5.329617
Bulgaria,BGR,1993,5.690042
Bulgaria,BGR,1994,5.755419
Bulgaria,BGR,1995,5.827135
Bulgaria,BGR,1996,5.213432
Bulgaria,BGR,1997,4.784249
Bulgaria,BGR,1998,4.6266346
Bulgaria,BGR,1999,4.006223
Bulgaria,BGR,2000,4.099934
Bulgaria,BGR,2001,3.833296
Bulgaria,BGR,2002,3.1975684
Bulgaria,BGR,2003,3.1195772
Bulgaria,BGR,2004,3.1022274
Bulgaria,BGR,2005,2.546313
Bulgaria,BGR,2006,2.3950443
Bulgaria,BGR,2007,2.2930326
Bulgaria,BGR,2008,2.2410676
Bulgaria,BGR,2009,1.9647046
Bulgaria,BGR,2010,1.9493505
Bulgaria,BGR,2011,1.6969084
Bulgaria,BGR,2012,1.8829263
Bulgaria,BGR,2013,1.4667951
Bulgaria,BGR,2014,1.5192329
Bulgaria,BGR,2015,1.7238423
Bulgaria,BGR,2016,1.0902605
Bulgaria,BGR,2017,1.4340553
Bulgaria,BGR,2018,1.2926013
Bulgaria,BGR,2019,1.1768823
Bulgaria,BGR,2020,0.9886556
Bulgaria,BGR,2021,1.2779799
Burundi,BDI,2012,5.1043954
Burundi,BDI,2013,5.123366
Burundi,BDI,2014,5.3740325
Burundi,BDI,2015,4.2975073
Burundi,BDI,2016,5.82391
Cambodia,KHM,1992,4.414391
Cambodia,KHM,1993,5.847582
Cambodia,KHM,1994,2.8487208
Cambodia,KHM,1995,3.6356883
Cambodia,KHM,1996,4.8468103
Cambodia,KHM,1997,2.7730227
Cambodia,KHM,1998,6.7957387
Cambodia,KHM,1999,4.8827605
Cambodia,KHM,2000,4.711672
Cambodia,KHM,2001,3.2987006
Cambodia,KHM,2002,3.3832788
Cambodia,KHM,2003,3.980384
Cambodia,KHM,2004,3.9258256
Cambodia,KHM,2005,3.3820043
Cambodia,KHM,2006,2.967848
Cambodia,KHM,2007,2.8655195
Cambodia,KHM,2008,2.388143
Cambodia,KHM,2009,2.338274
Cambodia,KHM,2010,2.3044472
Cambodia,KHM,2011,1.8389057
Cameroon,CMR,2000,3.041428
Cameroon,CMR,2001,4.873089
Cameroon,CMR,2002,6.478559
Cameroon,CMR,2003,6.126819
Cameroon,CMR,2008,4.1326976
Cameroon,CMR,2009,6.609979
Cameroon,CMR,2010,5.025647
Cameroon,CMR,2011,4.0833545
Cameroon,CMR,2012,4.1839643
Cameroon,CMR,2015,3.741421
Cameroon,CMR,2016,3.3190465
Cameroon,CMR,2017,4.1159043
Cameroon,CMR,2020,4.5373755
Canada,CAN,1990,2.3755112
Canada,CAN,1991,2.6913424
Canada,CAN,1992,2.5857532
Canada,CAN,1993,2.1836066
Canada,CAN,1994,2.0565064
Canada,CAN,1995,2.0041366
Canada,CAN,1996,2.142337
Canada,CAN,1997,1.9609975
Canada,CAN,1998,1.8543822
Canada,CAN,1999,1.7730393
Canada,CAN,2000,1.7794689
Canada,CAN,2001,1.7869376
Canada,CAN,2002,1.8580953
